fips,stateabb,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perell,perspeced,totenrl,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,perecd,baplusavgall,baplusavgblk,baplusavgwht,baplusavghsp,povertyavgall,povertyavgblk,povertyavgwht,povertyavghsp,unempavgall,unempavgblk,unempavgwht,unempavghsp,snapavgall,snapavgblk,snapavgwht,snapavghsp,single_momavgall,single_momavgblk,single_momavgwht,single_momavghsp,sesavgall,sesavgwht,sesavgblk,sesavghsp,sesavgnam,sesavgwhtblk,sesavgwhthsp,lninc50avgall,lninc50avgwht,lninc50avgblk,lninc50avghsp
1,AL,0.28263021,0.21682583,0.11730432,0.38323963,0.0088268733,0.013806097,0.058654107,0.33805665,0.58065629,0.50066757,0.069408618,0.5700587,0.026554359,0.092681549,340913.55,0.43758687,0.24551085,0.15345727,0.19065021,0.48720545,0.20979917,0.19154552,0.22386198,0.591097,0.23014608,0.16760132,0.2585156,0.13891637,0.17711285,0.30152765,0.12102303,0.31024769,0.082288049,0.13626312,0.064988673,0.07034117,0.13624722,0.2756874,0.084074825,0.16781168,0.22161137,0.47492176,0.13781393,0.19346356,-0.5161525,0.21240503,-2.4988067,-1.0877159,-0.70438427,2.7112117,1.3001208,10.682899,10.830668,10.267275,10.476563
2,AK,0.46196353,0.052186187,0.21055274,0.27529755,0.24914575,0.072262928,0.077312827,0.041471004,0.55980748,0.38455051,0.079609245,0.46381396,0.11271218,0.13853148,58802.77777777778,0.23640087,0.15599909,0.19045025,0.21652077,0.17166664,0.1354546,0.23546982,0.25163117,0.48595855,0.27892095,0.21564241,0.33559561,0.20303389,0.10128994,0.1492167,0.066567659,0.1163217,0.092705108,0.10411248,0.063302286,0.080005929,0.097343512,0.13683775,0.056771614,0.11061098,0.16654545,0.31479725,0.12030294,0.2276679,0.24450943,0.84263551,-0.67371684,-0.12059748,-2.1808875,1.5163523,0.96323299,11.153067,11.254036,10.8832,10.993158
4,AZ,0.50261849,0.26987219,0.10708376,0.12042557,0.049109228,0.029540118,0.4457013,0.05487366,0.42077571,0.41549563,0.12043463,0.53453499,0.085091121,0.11822394,504932.6,0.25314298,0.33216596,0.25306714,0.31991071,0.23782085,0.39236802,0.30351928,0.36945686,0.56536865,0.26972011,0.24088827,0.33351842,0.1208763,0.1630345,0.22507025,0.10156426,0.24871612,0.079263709,0.11047415,0.063652724,0.089926548,0.11053869,0.19795929,0.068155758,0.2035298,0.18704279,0.36588347,0.13839675,0.26115525,-0.15385793,0.47681344,-1.3590043,-1.2289177,-2.716738,1.8358177,1.7057312,10.844395,10.946105,10.617948,10.609054
5,AR,0.3031477,0.13132448,0.24805811,0.31746972,0.0070173256,0.015442635,0.11592731,0.21031766,0.65129507,0.47184655,0.099410005,0.57084107,0.073961608,0.11649694,219154.8,0.47162262,0.27520812,0.1201736,0.15998253,0.49512702,0.27650589,0.1491759,0.1802271,0.63398433,0.20582674,0.15263732,0.22824809,0.092914343,0.18216181,0.3311688,0.14018448,0.29747435,0.074902408,0.13654082,0.061007854,0.060734399,0.13254435,0.29025036,0.10074697,0.15035598,0.19805323,0.48626521,0.14708106,0.19442858,-0.48807991,-0.0024594276,-2.7206647,-1.0230125,-0.93081141,2.7182052,1.0205531,10.625962,10.714343,10.188227,10.45787
6,CA,0.47342676,0.41856644,0.062451672,0.045555145,0.0063748043,0.11898289,0.5456062,0.063661888,0.26537421,0.50011253,0.08770147,0.58773178,0.23873866,0.110439,2798108.3,0.41522926,0.36986953,0.24332036,0.33311227,0.44060495,0.41161039,0.29814953,0.3781369,0.62681878,0.31042194,0.2441294,0.39695957,0.12035505,0.14618842,0.22285838,0.092272662,0.20516774,0.08578822,0.14349845,0.072633363,0.098183334,0.074963942,0.14655419,0.039902132,0.13545929,0.19342236,0.43322963,0.1435875,0.23857684,0.12760414,0.76377201,-1.4612825,-0.76961112,-1.0555909,2.2250545,1.5333831,11.051612,11.204087,10.703325,10.793944
8,CO,0.39068237,0.41508877,0.094199076,0.10002977,0.0085538039,0.033519488,0.32924584,0.049981542,0.57869935,0.34701923,0.076169558,0.42318875,0.11651693,0,387286.8,0.3786625,0.27996117,0.24445048,0.27503195,0.33223885,0.33829689,0.29011941,0.33169153,0.43816003,0.37612367,0.24690092,0.4247075,0.14196955,0.11934166,0.22274995,0.08467602,0.21546519,0.064332418,0.11252015,0.054525748,0.083914742,0.072299667,0.18196404,0.047733571,0.16178584,0.15464713,0.34757498,0.12431856,0.2399393,0.45670262,0.86148953,-1.2432561,-0.87118822,-1.2977324,2.1047456,1.7326777,11.007069,11.098602,10.644632,10.661876
9,CT,0.28400624,0.56004363,0.039026808,0.11692332,0.0030955537,0.048829474,0.21225592,0.12947764,0.60634142,0.30527148,0.054512184,0.35965595,0.059961803,0.13582689,243085.95,0.45554385,0.37329692,0.32048163,0.33622047,0.4747397,0.42184868,0.36559397,0.38782334,0.37549591,0.36641815,0.20177765,0.39025262,0.15986711,0.097439922,0.19697049,0.05689628,0.24115695,0.081269056,0.14241895,0.061682891,0.1206328,0.098454721,0.24257345,0.053830851,0.29920959,0.19119655,0.47017333,0.13374566,0.3685776,0.34419465,0.92574656,-1.831755,-1.8621778,-1.5852503,2.7575016,2.7879245,11.154015,11.270541,10.687356,10.617316
10,DE,0.081465743,0.56542552,0.17852184,0.17458691,0.0042168354,0.036167562,0.148351,0.32325336,0.48801124,0.41195846,0.072005443,0.48385152,0.068749093,0.15533905,59856.55,0.1764131,0.19683148,0.13992922,0.13370153,0.21110635,0.22305289,0.1702349,0.16530651,0.48870015,0.29223073,0.21245272,0.30966821,0.14290972,0.11719708,0.18989959,0.079111375,0.24268703,0.074154697,0.10271941,0.059823044,0.079353765,0.10582048,0.21450706,0.067672037,0.21751609,0.20273024,0.4194029,0.14406972,0.23605017,0.08758869,0.59491199,-1.3936523,-1.0568947,-1.5796851,1.9885643,1.6518066,10.99518,11.079199,10.706472,10.710603
11,DC,1,0,0,0,0.0011491767,0.015764683,0.14026952,0.74978799,0.093028635,0.70692348,0.064120196,0.77060831,0.081680112,0.15501083,29247.5,0.57734311,0.53426093,0.23821011,0.45888874,0.50490421,0.5835802,0.2759423,0.47211176,0.75976318,0.52348226,0.24087659,0.8875851,0.39441612,0.17545941,0.25571623,0.067473628,0.14342169,0.084836535,0.15131697,0.02724901,0.060529813,0.12168072,0.23139103,0.0090174153,0.09136571,0.36662632,0.57536274,0.071269661,0.25436661,-0.23992802,2.1728706,-2.2766695,0.097143829,-0.21591178,4.4464855,2.0553329,11.127912,11.671041,10.600351,10.986133
12,FL,0.12070195,0.76692969,0.032313742,0.080054611,0.0034261881,0.027214529,0.30799285,0.23112155,0.43024486,0.52132636,0.069130413,0.59041107,0.091979899,0.13573614,1235675.75,0.3464914,0.30809647,0.16897494,0.19930106,0.40034819,0.36581603,0.21050552,0.23749943,0.61309433,0.26989773,0.18138216,0.30341694,0.22186165,0.1484386,0.25090364,0.10389137,0.1940406,0.085041843,0.13258605,0.070844203,0.081830107,0.11900515,0.24729207,0.068054959,0.21043985,0.19988163,0.43004069,0.13840547,0.23791577,-0.23089242,0.36668599,-1.9996109,-0.85869414,-0.98453808,2.3662968,1.2253802,10.788815,10.885615,10.476039,10.650835
13,GA,0.16821739,0.46486732,0.084162004,0.28275326,0.0021324353,0.037586242,0.13967815,0.37787327,0.44272989,0.54237378,0.073038436,0.61506444,0.055660266,0.11094142,781962.7,0.39870933,0.30717492,0.2329898,0.29011217,0.4538669,0.35113779,0.28047132,0.32212648,0.61878401,0.28584567,0.21817003,0.31914854,0.14697546,0.16463386,0.24537976,0.10640875,0.27153379,0.08255583,0.13037349,0.063604176,0.071802333,0.12558323,0.22868556,0.074453495,0.1544636,0.22304867,0.44090408,0.13141054,0.19231251,-0.29701236,0.47183746,-1.866565,-0.85943204,-1.0090493,2.3384025,1.3312695,10.83582,10.99086,10.534915,10.6006
15,HI,0,1,0,0,0.0076053813,0.56768525,0.17466423,0.030428626,0.21961652,0.38938394,0.10698664,0.49636945,0.09254989,0.10730328,83830.2,0.17357935,0.13590354,0.12253064,0.1424977,0.12413579,0.16014683,0.15254016,0.17931662,0.52221727,0.3083156,0.27667487,0.43683884,0.19337368,0.096775405,0.087817818,0.093691908,0.13607967,0.048764404,0.086233415,0.049722776,0.073686332,0.089455448,0.052308608,0.058474556,0.15269795,0.17682347,0.14278762,0.11534714,0.23643447,0.49656326,0.91412139,0.45828199,-0.30537039,-0.66083753,0.46185327,1.2177612,11.167126,11.185223,11.040068,11.003902
16,ID,0.25376445,0.26873267,0.24829954,0.22920334,0.013842941,0.013625376,0.17100613,0.010740154,0.79078537,0.38193417,0.10581402,0.4876909,0.055429723,0.099278152,132836,0.1450471,0.16948029,0.096964151,0.16879301,0.035019875,0.16758612,0.12071443,0.18971793,0.53565174,0.25298047,0.27663189,0.27860281,0.097464703,0.14152208,0.30484456,0.12291501,0.25107238,0.066898599,0.13953112,0.059707798,0.082170211,0.10177306,0.25373244,0.08969631,0.20353064,0.13531779,0.18878332,0.12606533,0.20383391,0.061447971,0.25571081,-1.4596825,-1.1255528,-1.7971084,1.7153933,1.3812636,10.778724,10.811237,10.501615,10.536187
17,IL,0.30113077,0.48658243,0.10564328,0.10664351,0.002978785,0.047422267,0.25086832,0.17975357,0.51897705,0.43875834,0.081720404,0.52015471,0.10769945,0.14611571,907812.25,0.61433989,0.4798559,0.28290394,0.33094132,0.65387249,0.53538716,0.33700281,0.38495189,0.51457328,0.3158938,0.20818599,0.34699464,0.131503,0.13244714,0.28605276,0.085472867,0.18540917,0.086668983,0.18339944,0.063592561,0.092569858,0.11232913,0.29840904,0.066941105,0.17671491,0.19265014,0.51670551,0.13317296,0.21256761,0.0029060561,0.62691855,-2.6847007,-0.74302632,-0.92221421,3.3116193,1.3699448,10.962868,11.067266,10.455517,10.782761
18,IN,0.31787279,0.27573276,0.15147877,0.25491568,0.0025677835,0.02028273,0.10486133,0.12969099,0.74259716,0.41185212,0.081247985,0.49308798,0.049814187,0.16277659,475726,0.50915557,0.28327608,0.1551248,0.15875617,0.51408041,0.27337801,0.19349097,0.19909053,0.48111328,0.23754962,0.17511551,0.2489917,0.12888509,0.14150438,0.29546726,0.11288953,0.26066896,0.077116281,0.15724412,0.065340213,0.090789892,0.10615617,0.2723532,0.085253753,0.16825642,0.18162799,0.49452248,0.15000166,0.22421245,-0.11553894,0.2087611,-2.5611985,-1.0681024,-1.049989,2.7699594,1.2768635,10.809783,10.86613,10.345068,10.586464
19,IA,0.30086672,0.10391077,0.26152766,0.33369485,0.0044655968,0.023470853,0.099445954,0.058572784,0.81404483,0.33556166,0.075670607,0.41122922,0.048937835,0.13062733,214915,0.29145411,0.24142414,0.12572293,0.14342391,0.21491139,0.21659589,0.15457365,0.17922352,0.41414195,0.26158825,0.1908979,0.27356166,0.12232926,0.11790444,0.35314026,0.10006191,0.2405498,0.052315731,0.1358557,0.04447867,0.083031647,0.10098814,0.37543455,0.087455705,0.21223226,0.14262147,0.4781332,0.12834826,0.24448115,0.23728362,0.43020147,-2.9592888,-1.1723117,-1.9974108,3.3894904,1.6025132,10.863141,10.890078,10.212667,10.584332
20,KS,0.26644036,0.19803682,0.28540316,0.25011966,0.011694406,0.028194366,0.18559381,0.07773605,0.69678134,0.3924827,0.10086457,0.4933472,0.093498245,0.13981979,214700.8888888889,0.33828348,0.3073056,0.19161673,0.21549132,0.30810592,0.34106392,0.23197186,0.26158279,0.48571834,0.30728251,0.20485944,0.32913858,0.12430155,0.12707275,0.26051772,0.10007776,0.23337768,0.058096308,0.13173658,0.048099704,0.076092586,0.081462733,0.23109448,0.064248741,0.13698666,0.15565927,0.42120272,0.13159002,0.21529426,0.25979853,0.55191338,-1.968364,-0.81064397,-1.0511239000000001,2.5202775,1.3625574,10.852723,10.906787,10.399646,10.589984
21,KY,0.20136915,0.19610114,0.250543,0.35198671,0.0013440396,0.015566465,0.05237614,0.10933486,0.82137847,0.51137984,0.065253794,0.5766331,0.028588656,0.14823705,302277.05,0.34369752,0.19071659,0.092935756,0.11606665,0.29681629,0.12642868,0.11949742,0.14447168,0.5952096,0.21723437,0.1680184,0.22383125,0.16774923,0.18123606,0.30704278,0.16485232,0.29832065,0.082170337,0.13646403,0.073439308,0.078866333,0.15201725,0.27409974,0.13956995,0.20927674,0.19058765,0.48254272,0.16717829,0.20957422,-0.51108259,-0.29912204,-2.5094481,-1.202405,-1.8833704,2.210326,0.903283,10.683812,10.719907,10.30022,10.518049
22,LA,0.38466591,0.31145957,0.14548004,0.1583945,0.0078963451,0.01447705,0.047174059,0.45507079,0.47538173,0.59912646,0.070639282,0.66973984,0.024035536,0.11919939,319323.3,0.38730794,0.26391977,0.16406138,0.18972145,0.43999127,0.23236212,0.20069338,0.21155792,0.70050609,0.2198835,0.14589289,0.25648832,0.1813878,0.19219631,0.32914057,0.11791807,0.21451771,0.081031635,0.12966427,0.055696003,0.074223362,0.16550791,0.31030923,0.099505298,0.14370231,0.24976881,0.48413688,0.14809471,0.21895492,-0.71895456,0.22666752,-2.7306485,-0.68009764,-1.2872939,2.9573162,0.90676516,10.694263,10.896813,10.217155,10.644365
23,ME,0.12637183,0.16407999,0.18457985,0.52496833,0.0065328884,0.015363502,0.017981978,0.031089898,0.92903172999999994,0.35501096,0.070670255,0.42567572,0.028018897,0.16302642,81762.05,0.31354988,0.13645211,0.096563213,0.11229819,0.19090469,0.031995144,0.11419308,0.14149384,0.44853067,0.28136656,0.22303736,0.28394887,0.27124071,0.12888679,0.42705333,0.12080083,0.23834354,0.070644625,0.14658456,0.060221326,0.092080325,0.14688818,0.42812926,0.14012855,0.23415995,0.15186787,0.36153859,0.14691034,0.23755835,-0.050966203,0.06169707,-3.0362437,-1.0771751,-2.8010459,3.0979407,1.1388723,10.806007,10.817301,10.219391,10.591645
24,MD,0.12547244,0.77165359,0.017715655,0.085158288,0.0032696298,0.064560227,0.13219249,0.35946554,0.44051212,0.36186394,0.067445017,0.42929918,0.063883334,0.11956526,379071.8888888889,0.4782497,0.38505995,0.22066917,0.24283923,0.53804845,0.43324089,0.26249191,0.29250866,0.43170911,0.37158993,0.26900801,0.39985865,0.20333804,0.09255819,0.14108969,0.062395379,0.12725113,0.068998314,0.10103221,0.049557295,0.067857355,0.086558335,0.15937515,0.051368661,0.10752484,0.21201885,0.41134641,0.12884288,0.20895512,0.43478894,1.0271795,-0.83694351,0.0014991991,-0.63178658,1.864123,1.0256803,11.207762,11.321922,10.97072,11.060558
25,MA,0.18398359,0.71045113,0.015840653,0.089724645,0.0024639999,0.062844142,0.17398711,0.085827485,0.67487729,0.30830956,0.050306231,0.35861549,0.072802909,0.17367589,427568.9,0.42991701,0.42395267,0.27612397,0.27411515,0.43555817,0.4646157,0.32375416,0.32717136,0.35134712,0.39925307,0.24121042,0.4063265,0.17466362,0.10805685,0.21066327,0.073361389,0.28554398,0.07579729,0.122467,0.060443468,0.11247245,0.10357161,0.24548219,0.069116943,0.34532377,0.19464381,0.45215675,0.15252285,0.43611628,0.34094843,0.77428663,-1.7018185,-2.3282979,-1.8752606,2.476105,3.1025846,11.132871,11.210851,10.678261,10.476582
26,MI,0.2512866,0.4391664,0.12205812,0.18748891,0.0076973094,0.031568788,0.069226108,0.18871678,0.70279104,0.42517531,0.06128417,0.48644489,0.051426426,0.12811372,688347.25,0.57994318,0.28822708,0.20715186,0.21946886,0.61491084,0.27861604,0.25471014,0.26729077,0.49281836,0.26326746,0.17733465,0.27855995,0.16457339000000001,0.15356334,0.31989694,0.11573316,0.25092724,0.10472237,0.19760206,0.080552846,0.12133467,0.13989903,0.33553845,0.10370685,0.22559287,0.19176114,0.51403153,0.14185652,0.2522971,-0.36452952,0.14895532,-3.0496938,-1.3686396,-1.5164987,3.1986492,1.5175949,10.823461,10.896092,10.348941,10.612398
27,MN,0.20313223,0.37080985,0.22165073,0.20440719,0.01889717,0.066482566,0.084203541,0.10204693,0.72836977,0.30042535,0.079763465,0.38018554,0.077713609,0.14635266,377590.45,0.39223164,0.2519086,0.1668714,0.17287427,0.38265699,0.23471311,0.20118357,0.2116262,0.38640144,0.33072364,0.21195988,0.34278071,0.16022171,0.10405383,0.33269358,0.076242991,0.22133876,0.061988648,0.14807765,0.047117107,0.085045822,0.073458664,0.33836469,0.051214829,0.16012199,0.14347894,0.45777193,0.11818628,0.26115155,0.48806956,0.8055653,-2.6957703,-0.92369908,-2.5796216,3.5013356,1.7292644,11.018426,11.062576,10.3331,10.655752
28,MS,0.10521165,0.13421339,0.27603686,0.48453808,0.0022272053,0.010014906,0.03016343,0.49245796,0.46513653,0.6543901,0.080200948,0.73383695,0.019761231,0.13422444,222855.3,0.39696157,0.21432528,0.19214557,0.21881865,0.44784388,0.15305698,0.22278811,0.24052542,0.65507704,0.20309229,0.1497186,0.24612677,0.13242425,0.2165271,0.34983259,0.12866232,0.2671186,0.094080009,0.14982305,0.065145276,0.083432391,0.16278958,0.29396662,0.088885628,0.13890709,0.26445276,0.49016014,0.14284022,0.19645126,-0.96472603,0.12933752,-2.8682401,-0.90245831,-2.1119037,2.9975777,1.0317959,10.576211,10.798746,10.169878,10.562425
